População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,1970,1980,1991,2000,
BA,2914703,Itaberaba,9637,13775,18868.8548066101,25110.97964081,
BA,2914802,Itabuna,35863,51993,70123.9683467199,89409.5808935295,
BA,2914901,Itacaré,4649,4640,6190.20192175,7239.39682064,
BA,2915007,Itaeté,6318,3964,3426.77653069,4070.41115975,
BA,2915106,Itagi,3674,4532,4781.83799401,5490.90761523,
BA,2915205,Itagibá,4331,6562,6451.87912391,6125.1440212,
BA,2915304,Itagimirim,3281,2159,2710.30095266,3007.05936385,
BA,2915353,Itaguaçu da Bahia,,,4096.60993751,4213.78622635,
BA,2915403,Itaju do Colônia,2779,3218,2684.6847945,3231.9220011,
BA,2915502,Itajuípe,6411,8436,8347.73311448,8944.63768342,
BA,2915601,Itamaraju,18101,25317,23224.82319036,27109.83981687,
BA,2915700,Itamari,1775,2959,3217.347303,3498.87499054,
BA,2915809,Itambé,7675,8317,8183.30579982,12056.44924175,
BA,2915908,Itanagra,1094,1240,1638.71557466,2232.33071577,
BA,2916005,Itanhém,9453,7706,7722.37750255,8177.954487,
BA,2916104,Itaparica,2370,2950,5393.79475483,8266.41755224,
BA,2916203,Itapé,3658,3043,4166.48430547,5865.27101699,
BA,2916302,Itapebi,4106,3222,3624.35595482,4035.4708452,
BA,2916401,Itapetinga,13254,16473,19560.68700606,26794.2372616201,
BA,2916500,Itapicuru,6350,5616,9568.55551512,10264.77740704,
BA,2916609,Itapitanga,2469,3073,3554.26736089,3431.58120005,
BA,2916708,Itaquara,3136,2116,2817.57409384,3451.19045509,
BA,2916807,Itarantim,5798,4509,5424.10245166,6528.28642551,
BA,2916856,Itatim,,,2979.65168156,5029.6828367,
BA,2916906,Itiruçu,3162,3582,4701.90351598,6016.93614304,
